caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,q7,q8,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,q16,q17,q18,q20f1,q21af2,q21bf2,q21cf2,q23,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,q32,q33,q34,q35,q37,q38,q39,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knosct_count,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1
102574,5.71428571428571,1,82014,1,2,29,R,1,2,1,2,1,3,4,3, ,2,2,2,2,1,1,1,1,2, , , , ,1,1,1,1,2,1, ,1,2, ,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,3,1,2,1,3,2,1,6,1,32,7,1,1,1,1, , , ,3,3, ,1,1,1,99,1,1,3,7,1,1, ,3,6,2,1,1,1, , 
102576,1.78571428571429,1,82414,1,3,47,U,4,2,2,9,9,9,3,9, ,9,2,9,3,1,2,1,9,2, , , , ,2,1,9,9, ,9, ,1,1, ,9,9,9,1,9,2,2,2,1,2,9,2,2,9,2,2,1,2,2,9,9,3,2,3,2,1,1,2,2,77,1, ,2,2,2, , , ,2, ,1,5,2, ,11,1,1,1,1,1,2, ,4,1, ,2,2,1, , 
102578,2.64285714285714,1,82014,1,3,5,R,1,1,2,3,2,2,3,3,3, ,1,1,2,1,1,2,1,2, , , , ,1,2,2,1,1,1,3, , , ,2,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,3,2,1,6,1,34,8,1,2,3,3, , , ,4, ,2,1,2,2,12, , ,5,9,3,3,9,3,2,2,1,1,1, , 
102587,1.64285714285714,1,82014,1,3,48,S,5,2,2,2,3,3,3,2, ,2,2,1,1,1,1,2,9,1, , , , ,1,1,1,2, ,1, ,2, ,2,2,1,9,2,9,1,2,2,2,9,9,1,2,2,2,2,3,2,9,1,3,1,2,1,3,2,8,5,2,59,7,2,2,1,1, , , ,1, ,1,1,2, ,1, ,1,2,10,1,1, ,1,2,2,1,1,1, , 
102589,1.28571428571429,1,82014,1,2,29,U,5,2,2,9,9,4,3,9, ,2,4,1,1,1,1,2,1,1, , , , ,1,1,1,1,2,9, ,1,2, ,2,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,5,9,1,1,3,2,8,8,2,2,1,2,1,55,3, ,2,2,2, , , ,2, ,1,1,2, ,1, ,1,6,2,1,2, ,2,2,2,1,1,1, , 
102605,14.5714285714286,1,82014,1,4,6,S,4,2,2,3,2,4,4,4, ,4,2,3,2,2,2,2,2,2, , , , ,2,2,2,1,2,1, ,1,1, ,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,9,2,1,2,2,1,1,8,1,3,2,2,4,2,28,4, ,2,1,1, , , ,1, ,1,1,1, ,13, ,1,2,6,1,2, ,3,5,2,1,1,1, , 
102619,2.42857142857143,1,82014,1,4,35,R,1,2,2,4,2,3,4,4, ,4,2,1,1,1,2,1,2,1, , , , ,2,2,2,1,2,1, ,2, ,2,2,1,1,1,2,1,1,1,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1,3,2,1,6,2,65,2, ,2,1,1, , , ,1, ,1,1,2, ,12, , ,5,5,1,3,1,2,2,2,1,1,1, , 
102639,3,1,82414,1,4,6,S,1,1,2,3,2,3,3,2,2, ,2,1,1,1,1,2,1,1,1,50, , ,1,1,1,1,1,1,2, , , ,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,4,2,2,2,3,1,1,1,1,2,2,3,2,47,6,2,1,1,1, , , ,3,1, ,1,2, ,2, ,2,3,6,1,2, ,3,2,2,1,1,1, , 
102642,3.78571428571429,1,82014,1,4,6,S,5,2,2,1,1,3,4,3, ,3,1,1,2,1,1,2,1,1, , , , ,1,1,1,1,1,1, ,1,1, ,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,2,2,3,1,2,1,3,2,1,6,2,66,4, ,2,1,1, , , ,1, ,1,1,2, ,2, ,2,4,3,3,2, ,4,2,2,1,1,2,1, 
102646,4.92857142857143,1,82014,1,4,32,U,2,1,2,4,1,3,4,4,3, ,1,1,1,1,1,1,1,2, , , , ,1,1,2,1,1,1,2, , , ,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,3,1,2,1,3,2,1,6,1,42,4, ,2,4,1,3, , ,4, ,2,1,2,1,10, , ,6,8,1,2, ,4,3,3,1,1,1, , 
