,Survey_Number,Survey_ID,Var_Name,Var_Text,Data_Link
55,2,OLSAnimal,Q12a_14,Animals acceptable to use for Medical research: Insects,http://bit.ly/2ELRqy1
56,2,OLSAnimal,Q12a_15,Animals acceptable to use for Medical research: Depends on the reasearch,http://bit.ly/2ELRqy1
57,2,OLSAnimal,Q12a_16,Animals acceptable to use for Medical research: Any ,http://bit.ly/2ELRqy1
58,2,OLSAnimal,Q12a_17,Animals acceptable to use for Medical research: Snakes ,http://bit.ly/2ELRqy1
59,2,OLSAnimal,Q12a_18,Animals acceptable to use for Medical research: Depends on the animal,http://bit.ly/2ELRqy1
60,2,OLSAnimal,Q12a_19,Animals acceptable to use for Medical research: Humans,http://bit.ly/2ELRqy1
61,2,OLSAnimal,Q12a_20,Animals acceptable to use for Medical research: Animals from their own species,http://bit.ly/2ELRqy1
62,2,OLSAnimal,Q12a_21,Animals acceptable to use for Medical research: Other,http://bit.ly/2ELRqy1
63,2,OLSAnimal,Q12a_22,Animals acceptable to use for Medical research: None of these,http://bit.ly/2ELRqy1
64,2,OLSAnimal,Q12a_23,Animals acceptable to use for Medical research: Don,http://bit.ly/2ELRqy1
65,2,OLSAnimal,Q12b_1,Animals acceptable to use for Research into: Fish,http://bit.ly/2ELRqy1
66,2,OLSAnimal,Q12b_2,"Animals acceptable to use for Research into: Amphibians e.g. frogs, toads, newts",http://bit.ly/2ELRqy1
67,2,OLSAnimal,Q12b_3,Animals acceptable to use for Research into: Birds,http://bit.ly/2ELRqy1
68,2,OLSAnimal,Q12b_4,Animals acceptable to use for Research into: Mice,http://bit.ly/2ELRqy1
69,2,OLSAnimal,Q12b_5,Animals acceptable to use for Research into: Rats,http://bit.ly/2ELRqy1
70,2,OLSAnimal,Q12b_6,Animals acceptable to use for Research into: Cats,http://bit.ly/2ELRqy1
71,2,OLSAnimal,Q12b_7,Animals acceptable to use for Research into: Dogs,http://bit.ly/2ELRqy1
72,2,OLSAnimal,Q12b_8,Animals acceptable to use for Research into: Pigs,http://bit.ly/2ELRqy1
73,2,OLSAnimal,Q12b_9,Animals acceptable to use for Research into: Small  monkeys such as marmosets,http://bit.ly/2ELRqy1
74,2,OLSAnimal,Q12b_10,Animals acceptable to use for Research into: Large monkeys such as macaques,http://bit.ly/2ELRqy1
75,2,OLSAnimal,Q12b_11,Animals acceptable to use for Research into: Great apes e.g. chimpanzees and gorillas,http://bit.ly/2ELRqy1
76,2,OLSAnimal,Q12b_12,"Animals acceptable to use for Research into: Small mammals e.g. rabbits, ferrets",http://bit.ly/2ELRqy1
77,2,OLSAnimal,Q12b_13,"Animals acceptable to use for Research into: Larger mammals e.g. sheep, cows",http://bit.ly/2ELRqy1
78,2,OLSAnimal,Q12b_14,Animals acceptable to use for Research into: Insects,http://bit.ly/2ELRqy1
79,2,OLSAnimal,Q12b_15,Animals acceptable to use for Research into: Depends on the reasearch,http://bit.ly/2ELRqy1
80,2,OLSAnimal,Q12b_16,Animals acceptable to use for Research into: Any ,http://bit.ly/2ELRqy1
81,2,OLSAnimal,Q12b_17,Animals acceptable to use for Research into: Snakes ,http://bit.ly/2ELRqy1
82,2,OLSAnimal,Q12b_18,Animals acceptable to use for Research into: Depends on the animal,http://bit.ly/2ELRqy1
